dealID	LAWD_CD	DEAL_YMD	dealAmount	buildYear	dealYear	dong	aptName	dealMonth	dealDay	area	relativeNumber	floor	roadName	jiBun	bunCode	buBunCode	guGunCode
1	11110	201512	82,500	2008	2015	사직동	광화문스페이스본(101동~105동)	12	10	94.51	NAN	11	사직로8길	9	4	0	11110
2	11110	201512	60,000	1981	2015	당주동	롯데미도파광화문빌딩	12	22	149.95	NAN	8	세종대로23길	145	47	0	11110
3	11110	201512	130,000	2004	2015	내수동	킹스매너	12	8	194.43	NAN	6	경희궁2길	110-15	5	5	11110
4	11110	201512	105,000	2004	2015	내수동	경희궁의아침2단지	12	14	124.17	NAN	8	사직로8길	71	24	0	11110
5	11110	201512	120,000	2003	2015	내수동	경희궁파크팰리스	12	24	146.33	NAN	4	사직로8길	95	20	0	11110
6	11110	201512	17,000	2014	2015	연건동	이화에수풀	12	17	16.98	NAN	8	대학로	195-10	47	0	11110
7	11110	201512	17,000	2014	2015	연건동	이화에수풀	12	18	16.98	NAN	4	대학로	195-10	47	0	11110
8	11110	201512	57,000	2006	2015	명륜1가	렉스빌	12	29	106.98	NAN	3	혜화로3가길	19	30	0	11110
9	11110	201512	44,000	1995	2015	명륜2가	아남1	12	1	84.8	NAN	18	창경궁로	4	265	0	11110
10	11110	201512	52,000	1995	2015	명륜2가	아남1	12	10	84.9	NAN	12	창경궁로	4	265	0	11110
11	11110	201512	49,800	1995	2015	명륜2가	아남1	12	19	84.8	NAN	1	창경궁로	4	265	0	11110
12	11110	201512	41,000	1999	2015	명륜2가	아남3	12	19	61.13	NAN	7	혜화로3길	237	5	0	11110
13	11110	201512	41,000	1999	2015	창신동	두산	12	2	59.95	NAN	9	지봉로5길	232	7	0	11110
14	11110	201512	19,500	1966	2015	창신동	동대문	12	3	28.8	NAN	6	지봉로	328-17	25	0	11110
15	11110	201512	39,900	2003	2015	창신동	창신이수	12	3	68.06	NAN	8	지봉로	23-816	87	0	11110
16	11110	201512	20,800	1966	2015	창신동	동대문	12	7	28.8	NAN	3	지봉로	328-17	25	0	11110
17	11110	201512	27,200	1993	2015	창신동	창신쌍용2	12	7	64.66	NAN	3	낙산길	703	198	0	11110
18	11110	201512	39,000	1999	2015	??신동	두산	12	10	59.95	NAN	14	지봉로5길	232	7	0	11110
19	11110	201512	39,950	1993	2015	창신동	창신쌍용2	12	11	115.53	NAN	2	낙산길	703	198	0	11110
20	11110	201512	34,500	1992	2015	창신동	창신쌍용1	12	12	79.87	NAN	5	동망산길	702	19	0	11110
21	11110	201512	37,000	1992	2015	창신동	창신쌍용1	12	14	79.87	NAN	3	동망산길	702	19	0	11110
22	11110	201512	42,800	1992	2015	창신동	창신쌍용1	12	22	106.62	NAN	12	동망산길	702	19	0	11110
23	11110	201512	37,300	1992	2015	창신동	창신쌍용1	12	23	79.87	NAN	9	동망산길	702	19	0	11110
24	11110	201512	50,000	1999	2015	창신동	두산	12	24	84.9	NAN	4	지봉로5길	232	7	0	11110
25	11110	201512	12,300	2013	2015	숭인동	종로아인스빌	12	2	12.15	NAN	10	난계로29가길	1392-1	19	0	11110
26	11110	201512	52,000	2009	2015	숭인동	종로청계힐스테이트	12	3	84.9478	NAN	19	숭인동길	766	21	0	11110
27	11110	201512	53,300	2008	2015	숭인동	종로센트레빌	12	5	84.92	NAN	10	동망산길	02-01	47	0	11110
28	11110	201512	42,500	2009	2015	숭인동	종로청계힐스테이트	12	5	59.9426	NAN	2	숭인동길	766	21	0	11110
29	11110	201512	11,500	2014	2015	숭인동	숭인한양LEEPS	12	8	12.78	NAN	10	난계로29가길	1421-2	20	0	11110
30	11110	201512	13,000	2014	2015	숭인동	삼전솔하임4차	12	8	15.09	NAN	15	지봉로4길	318-2	13	0	11110
